start_time,start_distance,empty_distance,operator,employee_id,shift,end_time,end_distance,total_weight_kg,duration_sec
2025-12-18 16:27:19.652751,11.555999755859375,13.355999946594238,Shyam,1432,A,2025-12-18 16:27:20.276056,11.555999755859375,89064.16,0.623305
2025-12-18 16:27:23.411501,11.555999755859375,13.355999946594238,Shyam,1432,A,2025-12-18 16:27:24.015994,11.555999755859375,89064.16,0.604493
2025-12-18 16:27:25.810012,11.555999755859375,13.355999946594238,Shyam,1432,A,2025-12-18 16:27:26.455975,11.555999755859375,89064.16,0.645963
2025-12-18 16:27:27.709187,11.550000190734863,13.355999946594238,Shyam,1432,A,2025-12-18 16:27:31.135859,11.541000366210938,89806.33,3.426672
2025-12-18 16:27:32.307538,11.538000106811523,13.355999946594238,Shyam,1432,A,2025-12-18 16:27:36.909527,11.531000137329102,90301.14,4.601989
2025-12-18 16:27:38.073866,11.529000282287598,13.355999946594238,Shyam,1432,A,2025-12-18 16:27:38.722835,11.529000282287598,90400.1,0.648969
2025-12-18 16:27:41.055058,11.527000427246094,13.355999946594238,Shyam,1432,A,2025-12-18 16:27:41.681843,11.527000427246094,90499.05,0.626785
2025-12-18 16:27:42.900857,11.526000022888184,13.355999946594238,Shyam,1432,A,2025-12-18 16:27:43.469488,11.526000022888184,90548.55,0.568631
2025-12-18 16:27:46.170824,11.524999618530273,13.355999946594238,Shyam,1432,A,2025-12-18 16:27:46.739500,11.524999618530273,90598.05,0.568676
2025-12-18 16:27:53.504147,11.52400016784668,13.355999946594238,Shyam,1432,A,2025-12-18 16:27:54.077385,11.52400016784668,90647.5,0.573238
