timestamp,ladle_id,operator,shift,radar_distance_m,filled_height_m,calculated_tons,flow_rate_tps,state
2026-02-05T13:48:13,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:14,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:15,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:16,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:17,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:18,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:19,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:20,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:21,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:22,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:23,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:24,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:25,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:26,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:27,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:28,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:29,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:30,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:31,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:32,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:33,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:34,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:35,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:36,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:37,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:38,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:39,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:40,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:41,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:42,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:43,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:44,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:45,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:46,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:47,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:48,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:49,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:50,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:51,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:52,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:53,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:54,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:55,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:56,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:57,03,shyam,A,2.024,,,0.0,POURING
2026-02-05T13:48:58,03,shyam,A,2.541,,,0.0,POURING
2026-02-05T13:48:59,03,shyam,A,3.139,,,0.0,POURING
2026-02-05T13:49:00,03,shyam,A,3.29,,,0.0,POURING
2026-02-05T13:49:01,03,shyam,A,3.419,,,0.0,POURING
2026-02-05T13:49:02,03,shyam,A,3.512,,,0.0,POURING
2026-02-05T13:49:03,03,shyam,A,3.624,,,0.0,POURING
2026-02-05T13:49:04,03,shyam,A,3.715,,,0.0,POURING
2026-02-05T13:49:05,03,shyam,A,3.789,,,0.0,POURING
2026-02-05T13:49:06,03,shyam,A,3.85,,,0.0,POURING
2026-02-05T13:49:07,03,shyam,A,3.89,,,0.0,POURING
2026-02-05T13:49:08,03,shyam,A,3.932,,,0.0,POURING
2026-02-05T13:49:09,03,shyam,A,3.966,,,0.0,POURING
2026-02-05T13:49:10,03,shyam,A,3.989,,,0.0,POURING
2026-02-05T13:49:11,03,shyam,A,4.017,,,0.0,POURING
2026-02-05T13:49:12,03,shyam,A,4.032,,,0.0,POURING
2026-02-05T13:49:13,03,shyam,A,4.048,,,0.0,POURING
2026-02-05T13:49:14,03,shyam,A,4.058,,,0.0,POURING
2026-02-05T13:49:15,03,shyam,A,4.069,,,0.0,POURING
2026-02-05T13:49:16,03,shyam,A,4.076,,,0.0,POURING
2026-02-05T13:49:17,03,shyam,A,4.083,,,0.0,POURING
2026-02-05T13:49:18,03,shyam,A,4.088,,,0.0,POURING
2026-02-05T13:49:19,03,shyam,A,4.093,,,0.0,POURING
2026-02-05T13:49:20,03,shyam,A,4.097,,,0.0,POURING
2026-02-05T13:49:21,03,shyam,A,4.1,,,0.0,POURING
2026-02-05T13:49:22,03,shyam,A,4.103,,,0.0,POURING
2026-02-05T13:49:23,03,shyam,A,4.105,,,0.0,POURING
2026-02-05T13:49:24,03,shyam,A,4.107,,,0.0,POURING
2026-02-05T13:49:25,03,shyam,A,4.109,,,0.0,POURING
2026-02-05T13:49:26,03,shyam,A,4.11,,,0.0,POURING
2026-02-05T13:49:27,03,shyam,A,4.111,,,0.0,POURING
2026-02-05T13:49:28,03,shyam,A,4.112,,,0.0,POURING
2026-02-05T13:49:29,03,shyam,A,4.113,,,0.0,POURING
2026-02-05T13:49:30,03,shyam,A,4.114,,,0.0,POURING
2026-02-05T13:49:31,03,shyam,A,4.114,,,0.0,POURING
2026-02-05T13:49:32,03,shyam,A,4.115,,,0.0,POURING
2026-02-05T13:49:33,03,shyam,A,4.115,,,0.0,POURING
2026-02-05T13:49:34,03,shyam,A,4.115,,,0.0,POURING
2026-02-05T13:49:35,03,shyam,A,4.116,,,0.0,POURING
2026-02-05T13:49:36,03,shyam,A,4.116,,,0.0,POURING
2026-02-05T13:49:37,03,shyam,A,4.116,,,0.0,POURING
2026-02-05T13:49:38,03,shyam,A,4.116,,,0.0,POURING
2026-02-05T13:49:39,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:40,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:41,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:42,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:43,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:44,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:45,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:46,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:47,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:48,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:49,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:50,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:51,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:52,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:53,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:54,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:55,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:56,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:57,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:58,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:49:59,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:00,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:01,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:02,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:03,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:04,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:05,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:06,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:07,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:08,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:09,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:10,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:11,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:12,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:13,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:14,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:15,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:16,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:17,03,shyam,A,4.117,,,0.0,POURING
2026-02-05T13:50:18,03,shyam,A,4.117,,,0.0,POURING
